alamat,jk,lb,lt,harga
Mekarwangi,4.0,145.0,125.0,2375.0
Regol,4.0,140.0,104.0,1500.0
Coblong,2.0,65.0,60.0,650.0
Batununggal,4.0,474.5,405.0,6466.5
Cibaduyut,2.0,80.0,120.0,475.0
Batununggal,3.0,120.0,160.0,1675.0
Bandung,7.0,474.5,405.0,6466.5
Gedebage,3.0,195.0,191.0,3051.0
Rancasari,3.0,62.0,78.0,650.0
Parongpong,4.0,300.0,215.0,3900.0
Arcamanik,2.0,30.0,55.0,475.0
Buahbatu,3.0,50.0,51.0,710.0
Sumur Bandung,2.0,65.0,60.0,657.0
Bandung,5.0,200.0,239.0,2500.0
Bandung,4.0,330.0,198.0,3100.0
Cihampelas,5.0,148.0,352.0,6466.5
Cimaung,3.0,100.0,180.0,549.0
Soreang,2.0,30.0,60.0,325.0
Soreang,2.0,42.0,72.0,474.0
Ciumbuleuit,4.0,200.0,405.0,3499.0
Turangga,4.0,200.0,255.0,2300.0
Turangga,3.0,72.0,101.0,2300.0
Bandung,5.0,350.0,398.0,6466.5
Pasir Kaliki,4.0,100.0,75.0,900.0
Gatot Subroto,5.0,474.5,405.0,6466.5
Gatot Subroto,7.0,350.0,405.0,6466.5
Riau,4.0,474.5,405.0,6466.5
Arcamanik,2.0,45.0,100.0,615.0
Bandung,3.0,97.0,162.0,1550.0
Bandung,3.0,120.0,250.0,890.0
Soekarno Hatta,3.0,70.0,102.0,675.0
Setiabudi,3.0,100.0,100.0,1250.0
Mekarwangi,3.0,210.0,230.0,3200.0
Bandung,4.0,275.0,204.0,3000.0
Sukarasa,4.0,420.0,405.0,6466.5
Bojongloa Kaler,3.0,120.0,134.0,1200.0
Bandung,7.0,350.0,405.0,3200.0
Cisaranten Wetan,7.0,350.0,202.0,1100.0
Dago,4.0,220.0,117.0,2300.0
Astana Anyar,7.0,325.0,242.0,3900.0
Cibeunying,2.0,80.0,130.0,1250.0
Gegerkalong,5.0,146.0,303.0,3250.0
Riau,4.0,300.0,405.0,6466.5
Cigondewah,4.0,400.0,300.0,3600.0
Bandung,7.0,224.0,178.0,1700.0
Sumur Bandung,4.0,474.5,405.0,6466.5
Gegerkalong,2.0,80.0,144.0,1800.0
Sukasari,4.0,350.0,210.0,2800.0
Cikutra,4.0,100.0,120.0,1200.0
Bandung,3.0,100.0,136.0,1150.0
Isola,2.0,41.0,126.0,815.0
Bandung,5.0,200.0,390.0,3900.0
Margahayu,5.0,210.0,105.0,1200.0
Buahbatu,2.0,95.0,162.0,1200.0
Cijerah,4.0,300.0,282.0,3500.0
Soekarno Hatta,2.0,60.0,84.0,725.0
Pasteur,3.0,250.0,174.0,2700.0
Sukajadi,3.0,126.0,115.0,1400.0
Padalarang,4.0,112.0,144.0,1800.0
Cipaganti,7.0,474.5,405.0,6466.5
Buahbatu,2.0,90.0,117.0,875.0
Buahbatu (Margacinta),4.0,135.0,66.0,1150.0
Pasirluyu,7.0,236.0,360.0,4600.0
Sarijadi,3.0,212.0,156.0,3250.0
Ciwastra,6.0,317.0,405.0,3100.0
Bandung Kidul,4.0,150.0,150.0,1250.0
Margahayu Utara,2.0,59.0,70.0,800.0
Setiabudi,4.0,360.0,300.0,3700.0
Margahayu,3.0,100.0,156.0,995.0
Sarijadi,4.0,148.0,148.0,2100.0
Cimenyan,3.0,120.0,132.0,1260.0
Pasteur,2.0,60.0,98.0,1000.0
Dago,2.0,60.0,60.0,499.0
Babakan Ciparay,3.0,89.0,126.0,1129.0
Gegerkalong,3.0,75.0,160.0,1900.0
Buahbatu,3.0,125.0,86.0,1400.0
Baleendah,4.0,104.0,117.0,525.0
Bandung Kulon,4.0,460.0,405.0,3700.0
Lengkong,5.0,474.5,301.0,3700.0
Derwati,3.0,68.0,62.0,830.0
Margaasih,3.0,95.0,92.0,975.0
Buahbatu,3.0,85.0,175.0,1049.0
Mekarrahayu,2.0,66.0,57.0,1102.0
Bandung,4.0,160.0,126.0,2850.0
Katapang,2.0,45.0,70.0,455.0
Mekarwangi,5.0,275.0,144.0,3250.0
Gedebage,4.0,196.0,191.0,3050.0
Soekarno Hatta,3.0,142.0,120.0,2750.0
Cimenyan,4.0,95.0,110.0,1135.0
Bandung,3.0,135.0,122.0,1650.0
Pasteur,7.0,377.0,353.0,4300.0
Pasteur,6.0,330.0,309.0,4500.0
Cilengkrang,3.0,54.0,63.0,730.0
Jatihandap,2.0,65.0,72.0,730.0
Cimenyan,4.0,200.0,165.0,1400.0
Cileunyi Kulon,4.0,295.0,350.0,2100.0
Rancamulya,2.0,40.0,60.0,165.0
Ngamprah,2.0,38.0,99.0,533.0
Baleendah,4.0,120.0,221.0,700.0
Bandung,3.0,75.0,72.0,950.0
Buahbatu,2.0,65.0,60.0,657.0
Pasteur,7.0,350.0,210.0,6466.5
Lengkong,5.0,240.0,200.0,2900.0
Babakan Ciparay,2.0,170.0,156.0,3000.0
Bandung,2.0,74.0,80.0,699.0
Bojongloa Kaler,3.0,100.0,405.0,6466.5
Arcamanik,4.0,145.0,129.0,1200.0
Bandung,3.0,95.0,120.0,1850.0
Cibeunying Kidul,3.0,300.0,286.0,3099.0
Margahayu,3.0,110.0,69.0,575.0
Bandung,5.0,400.0,405.0,6466.5
Bandung,3.0,80.0,84.0,875.0
Buahbatu,3.0,130.0,78.0,1100.0
Bandung,4.0,224.0,148.0,2500.0
Arcamanik,3.0,100.0,168.0,1200.0
Rancasari,3.0,235.0,132.0,1700.0
Bandung,3.0,97.0,162.0,1750.0
Turangga,2.0,66.0,66.0,650.0
Bandung,3.0,150.0,122.0,2500.0
Sukasari,3.0,165.0,111.0,1800.0
Pasteur,4.0,300.0,184.0,4500.0
Parongpong,4.0,250.0,298.0,2900.0
Margaasih,4.0,110.0,60.0,550.0
Ujung Berung,7.0,255.0,250.0,3500.0
Margahayu,3.0,150.0,104.0,950.0
Pasteur,4.0,300.0,352.0,4500.0
Turangga,4.0,120.0,160.0,1950.0
Pasirluyu,3.0,112.0,74.0,1400.0
Margasenang,3.0,200.0,405.0,4900.0
Ciwastra,2.0,42.0,59.0,646.0
Margahayu,3.0,120.0,80.0,850.0
Padalarang,4.0,336.0,396.0,6000.0
Mekarwangi,3.0,280.0,180.0,2750.0
Malabar,6.0,331.0,138.0,900.0
Mekarwangi,4.0,160.0,120.0,2750.0
Mekarwangi,4.0,160.0,112.0,2700.0
Antapani,7.0,130.0,135.0,1300.0
Dayeuhkolot,4.0,150.0,110.0,850.0
Padalarang,2.0,51.0,90.0,1001.0
Mekarwangi,3.0,190.0,180.0,2300.0
Sukajadi,3.0,83.0,120.0,1200.0
Mekarwangi,4.0,165.0,178.0,2200.0
Pasteur,4.0,131.0,210.0,2900.0
Mekarwangi,3.0,120.0,77.0,1700.0
Batununggal,4.0,280.0,180.0,3100.0
Bandung,4.0,110.0,96.0,850.0
Coblong,4.0,250.0,248.0,4500.0
Gedebage,2.0,36.0,60.0,231.0
Riau,5.0,158.0,220.0,6466.5
Gatot Subroto,3.0,100.0,182.0,3276.0
Gegerkalong,4.0,244.0,120.0,3200.0
Bandung,4.0,300.0,215.0,3900.0
Cibiru,2.0,60.0,72.0,275.0
Cijerah,2.0,117.0,86.0,575.0
Parongpong,3.0,260.0,350.0,2200.0
Cikalongwetan,5.0,474.5,405.0,5000.0
Andir,2.0,36.0,66.0,355.0
Hegarmanah,3.0,300.0,200.0,3750.0
Cibeunying Kaler,3.0,127.0,98.0,1000.0
Bandung,4.0,176.0,135.0,2800.0
Cileunyi Kulon,2.0,36.0,62.0,200.0
Kopo,2.0,60.0,60.0,200.0
Rancasari,3.0,90.0,150.0,650.0
Sukasari,3.0,120.0,104.0,1600.0
Bandung,4.0,330.0,200.0,3000.0
Majalaya,2.0,72.0,72.0,350.0
Isola,6.0,474.5,405.0,6466.5
Bandung,5.0,350.0,284.0,3000.0
Bandung,5.0,300.0,300.0,1700.0
Rancasari,4.0,122.0,140.0,749.0
Kiaracondong,2.0,36.0,60.0,195.0
Bandung,2.0,50.0,5.0,700.0
Sarijadi,3.0,60.0,73.0,820.0
Bandung,4.0,132.0,102.0,1550.0
Bandung,4.0,250.0,163.0,3550.0
Sukagalih,2.0,50.0,60.0,525.0
Bandung,4.0,300.0,224.0,2250.0
Ciwastra,2.0,70.0,90.0,525.0
Bandung Kidul,3.0,63.0,63.0,541.0
Bandung,6.0,240.0,88.0,1300.0
Cileunyi,5.0,300.0,295.0,2000.0
Cinunuk,2.0,40.0,61.0,450.0
Buahbatu,2.0,55.0,72.0,770.0
Soekarno Hatta,2.0,61.0,78.0,750.0
Parongpong,7.0,350.0,276.0,4075.0
Parongpong,5.0,340.0,405.0,3900.0
Buahbatu,4.0,220.0,197.0,1500.0
Rancasari,6.0,300.0,170.0,1250.0
Mekarwangi,4.0,145.0,125.0,2650.0
Mekarwangi,3.0,110.0,146.0,2300.0
Andir,5.0,97.0,67.0,900.0
Bojongloa Kidul,5.0,300.0,250.0,2700.0
Sukasari,3.0,130.0,100.0,1500.0
Bandung,5.0,250.0,176.0,2200.0
Mekarwangi,2.0,100.0,120.0,1580.0
Coblong,5.0,474.5,235.0,3950.0
Baleendah,2.0,45.0,93.0,474.0
Mekarwangi,4.0,325.0,235.0,3200.0
Mekarwangi,3.0,120.0,166.0,2450.0
Bandung,4.0,87.0,84.0,650.0
Pasteur,4.0,200.0,142.0,2600.0
Mekarwangi,5.0,190.0,135.0,2950.0
Sukajadi,5.0,365.0,405.0,5500.0
Gedebage,2.0,97.0,112.0,1975.0
Bandung,4.0,200.0,185.0,1750.0
Bandung,2.0,56.0,77.0,532.0
Bojongloa Kidul,4.0,200.0,180.0,1800.0
Lembang,3.0,87.0,109.0,1200.0
Padalarang,4.0,260.0,198.0,3300.0
Bandung,3.0,75.0,84.0,500.0
Soekarno Hatta,2.0,36.0,70.0,450.0
Lembang,2.0,65.0,60.0,657.0
Ciparay,4.0,156.0,160.0,3250.0
Panyirapan,5.0,105.0,109.0,1700.0
Margahayu,7.0,335.0,188.0,900.0
Pasteur,3.0,50.0,78.0,550.0
Katapang,2.0,50.0,76.0,553.0
Buahbatu,3.0,135.0,111.0,1850.0
Cicaheum,2.0,36.0,63.0,380.0
Margahayu,5.0,140.0,132.0,800.0
Buahbatu,4.0,122.0,122.0,1000.0
Rancamulya,2.0,64.0,90.0,265.0
Pameungpeuk,2.0,40.0,76.0,425.0
Cicendo,7.0,474.5,405.0,6466.5
Regol,3.0,100.0,122.0,950.0
Buahbatu,3.0,80.0,96.0,750.0
Gedebage,5.0,248.0,300.0,6000.0
Cicaheum,3.0,122.0,60.0,550.0
Tamansari,2.0,45.0,71.0,899.0
Padalarang,3.0,100.0,126.0,1400.0
Bandung,4.0,300.0,261.0,2300.0
Ciumbuleuit,3.0,359.0,248.0,4900.0
Cihampelas,3.0,50.0,63.0,584.0
Arcamanik,3.0,159.0,130.0,735.0
Pasteur,6.0,300.0,226.0,3600.0
Mekarwangi,4.0,150.0,180.0,2200.0
Turangga,5.0,160.0,100.0,1980.0
Padalarang,4.0,160.0,126.0,1750.0
Sukaraja,2.0,45.0,48.0,750.0
Arcamanik,2.0,48.0,87.0,695.0
Mekarwangi,4.0,175.0,120.0,2800.0
Mekarwangi,3.0,260.0,183.0,2250.0
Regol,2.0,80.0,70.0,710.0
Kebon Jayanti,4.0,400.0,260.0,5500.0
Bandung,2.0,100.0,64.0,600.0
Turangga,4.0,180.0,164.0,2100.0
Cikutra,2.0,52.0,67.0,701.0
Cileunyi,3.0,50.0,60.0,428.0
Sarijadi,3.0,50.0,62.0,773.0
Arcamanik,2.0,36.0,64.0,500.0
Bojongloa Kidul,4.0,200.0,200.0,3000.0
Cinunuk,3.0,80.0,108.0,900.0
Lengkong,3.0,155.0,108.0,1725.0
Cigadung,2.0,180.0,123.0,1950.0
Mekarwangi,5.0,195.0,130.0,3350.0
Bandung,4.0,265.0,148.0,2800.0
Mekarwangi,4.0,300.0,200.0,3200.0
Bandung,4.0,250.0,222.0,4000.0
Bandung,4.0,125.0,162.0,2100.0
Arcamanik,2.0,120.0,176.0,1449.0
Bandung Kulon,4.0,350.0,270.0,2950.0
Padalarang,3.0,90.0,147.0,1500.0
Cibaduyut,2.0,50.0,71.0,575.0
Cibiru,2.0,120.0,246.0,900.0
Buahbatu,4.0,200.0,118.0,1600.0
Sukasari,4.0,112.0,98.0,1300.0
Bandung,3.0,61.0,72.0,475.0
Bandung,3.0,232.0,198.0,2800.0
Padalarang,4.0,90.0,108.0,1550.0
Batununggal,3.0,150.0,180.0,2500.0
Mekarwangi,4.0,150.0,150.0,2450.0
Buahbatu,2.0,60.0,100.0,790.0
Mekarwangi,3.0,150.0,175.0,2975.0
Mekarwangi,3.0,250.0,165.0,2500.0
Antapani,3.0,150.0,108.0,850.0
Padasuka,3.0,50.0,72.0,497.0
Bandung,7.0,474.5,405.0,6466.5
Hegarmanah,4.0,370.0,293.0,4150.0
Bandung,7.0,474.5,387.0,6250.0
Bandung,2.0,39.0,54.0,364.0
Bandung,2.0,85.0,90.0,650.0
Banjaran,2.0,36.0,60.0,430.0
Parongpong,2.0,50.0,61.0,517.0
Bandung,6.0,474.5,405.0,6466.5
Rancasari,3.0,102.0,78.0,775.0
Pasteur,3.0,126.0,90.0,1700.0
Bandung,2.0,45.0,105.0,600.0
Rancasari,2.0,216.0,108.0,1100.0
Buahbatu (Margacinta),4.0,144.0,176.0,1500.0
Ciumbuleuit,7.0,474.5,405.0,6466.5
Pasteur,3.0,225.0,76.0,2500.0
Kopo,5.0,205.0,306.0,3000.0
Cibeunying,2.0,50.0,84.0,525.0
Bandung,2.0,70.0,120.0,695.0
Parongpong,3.0,85.0,100.0,625.0
Pajajaran,4.0,200.0,111.0,1900.0
Bojongsoang,3.0,96.0,72.0,375.0
Pungkur,4.0,216.0,219.0,3999.0
Mekarwangi,3.0,275.0,200.0,3400.0
Padalarang,3.0,54.0,61.0,467.0
Bandung,3.0,270.0,124.0,1500.0
Mekarwangi,3.0,104.0,124.0,1800.0
Cinunuk,3.0,54.0,74.0,577.0
Bandung Wetan,7.0,300.0,405.0,6466.5
Pasir Impun,3.0,100.0,70.0,650.0
Riau,4.0,177.0,405.0,6466.5
Kopo,3.0,150.0,113.0,1450.0
Bandung,4.0,150.0,144.0,1600.0
Cangkuang,2.0,72.0,100.0,875.0
Bandung,7.0,474.5,390.0,6466.5
Mekarwangi,3.0,360.0,150.0,3500.0
Bandung,3.0,125.0,162.0,1950.0
Cilengkrang,3.0,54.0,68.0,742.0
Mekarwangi,3.0,120.0,90.0,1850.0
Bandung Wetan,4.0,110.0,136.0,835.0
Hegarmanah,4.0,300.0,360.0,6466.5
Bandung,3.0,80.0,92.0,550.0
Batununggal,5.0,330.0,334.0,5500.0
Margahayu,2.0,45.0,72.0,850.0
Riau,4.0,200.0,190.0,1950.0
Parongpong,7.0,310.0,405.0,4300.0
Buahbatu,3.0,95.0,105.0,200.0
Cibaduyut,4.0,170.0,146.0,2350.0
Cisarua,2.0,45.0,66.0,375.0
Buahbatu,3.0,105.0,80.0,1300.0
Bandung,2.0,40.0,60.0,477.0
Bandung,4.0,130.0,108.0,950.0
Margahayu Utara,2.0,83.0,72.0,480.0
Cisarua,2.0,75.0,63.0,725.0
Bojongloa Kidul,3.0,170.0,91.0,1650.0
Bojongloa Kidul,3.0,130.0,150.0,1100.0
Sukagalih,5.0,474.5,405.0,6466.5
Arcamanik,2.0,45.0,72.0,586.0
Bandung,3.0,120.0,140.0,950.0
Coblong,3.0,160.0,128.0,2200.0
Bandung,4.0,88.0,144.0,900.0
Bandung,3.0,160.0,140.0,1900.0
Cigondewah,4.0,120.0,153.0,1800.0
Mekarwangi,5.0,176.0,120.0,3450.0
Setiabudi,3.0,270.0,242.0,2950.0
Setiabudi,4.0,200.0,200.0,2700.0
Bandung,7.0,474.5,405.0,6466.5
Soekarno Hatta,3.0,55.0,102.0,699.0
Sukasari,4.0,474.5,405.0,6466.5
Bandung,4.0,97.0,162.0,1850.0
Bandung,7.0,140.0,80.0,600.0
Bandung,4.0,149.0,63.0,1550.0
Pasteur,6.0,474.5,405.0,6466.5
Parongpong,2.0,38.0,72.0,565.0
Parongpong,6.0,400.0,330.0,3200.0
Riau,5.0,400.0,405.0,6466.5
Buahbatu,3.0,120.0,128.0,850.0
Mekarwangi,3.0,134.0,100.0,2345.0
Riau,4.0,300.0,120.0,3200.0
Margahayu,2.0,70.0,96.0,850.0
Cilengkrang,3.0,54.0,51.0,623.0
Cinunuk,1.0,1.0,60.0,160.0
Mekarwangi,5.0,150.0,150.0,3300.0
Mekarwangi,4.0,204.0,153.0,3500.0
Mekarwangi,4.0,110.0,75.0,1700.0
Mekarsaluyu,5.0,474.5,405.0,6466.5
Sukasari,4.0,350.0,268.0,2700.0
Cibeunying Kidul,2.0,70.0,80.0,700.0
Bandung Kulon,3.0,75.0,91.0,750.0
Bandung,2.0,150.0,154.0,550.0
Buahbatu (Margacinta),2.0,30.0,50.0,225.0
Sukajadi,2.0,105.0,93.0,1600.0
Mekarwangi,3.0,190.0,138.0,2400.0
Soekarno Hatta,2.0,65.0,65.0,965.0
Mekarwangi,3.0,150.0,180.0,2300.0
Astana Anyar,2.0,55.0,70.0,780.0
Baleendah,2.0,70.0,154.0,660.0
Padalarang,2.0,65.0,126.0,1550.0
Riau,6.0,474.5,400.0,6466.5
Antapani,3.0,125.0,95.0,1200.0
Pasirlayung,3.0,110.0,115.0,575.0
Lembang,4.0,200.0,250.0,5900.0
Buahbatu (Margacinta),4.0,120.0,200.0,1600.0
Pasteur,5.0,150.0,196.0,3000.0
Parongpong,7.0,400.0,360.0,2800.0
Antapani,5.0,120.0,135.0,1500.0
Mekarwangi,5.0,300.0,197.0,3200.0
Mekarwangi,5.0,280.0,200.0,3600.0
Mekarwangi,5.0,210.0,210.0,2800.0
Arcamanik,3.0,60.0,66.0,600.0
Regol,4.0,240.0,167.0,2950.0
Bandung,4.0,330.0,405.0,4500.0
Margahayu,3.0,60.0,80.0,475.0
Bandung,3.0,200.0,280.0,1700.0
Bandung Kidul,4.0,460.0,405.0,3700.0
Bandung Wetan,6.0,474.5,405.0,6466.5
Paseh,5.0,432.0,405.0,5250.0
Sukasari,3.0,200.0,165.0,1800.0
Bandung,3.0,84.0,84.0,800.0
Mekarwangi,4.0,120.0,90.0,1850.0
Buahbatu (Margacinta),4.0,100.0,160.0,1375.0
Soreang,2.0,30.0,60.0,371.0
Pasteur,3.0,50.0,60.0,646.0
Lengkong,5.0,255.0,140.0,2750.0
Lengkong,3.0,82.0,123.0,954.0
Cangkuang,5.0,380.0,405.0,850.0
Bandung,3.0,400.0,330.0,3100.0
Sukamiskin,2.0,60.0,90.0,728.0
Cigadung,3.0,190.0,80.0,1500.0
Mekarwangi,4.0,180.0,185.0,2600.0
Bandung Wetan,4.0,177.0,405.0,6466.5
Bandung,4.0,160.0,180.0,2750.0
Cangkuang,4.0,78.0,78.0,726.0
Bandung,6.0,450.0,373.0,3800.0
Soekarno Hatta,2.0,75.0,104.0,650.0
Regol,7.0,224.0,220.0,4000.0
Bandung,6.0,474.5,405.0,6466.5
Bandung,2.0,128.0,57.0,1390.0
Gatot Subroto,7.0,230.0,405.0,6466.5
Parongpong,3.0,50.0,60.0,547.0
Pasteur,2.0,45.0,113.0,860.0
Turangga,3.0,160.0,178.0,1500.0
Bandung,3.0,200.0,405.0,3800.0
Sukasari,3.0,404.0,405.0,6466.5
Bandung,3.0,150.0,114.0,1950.0
Soekarno Hatta,5.0,300.0,300.0,2900.0
Cigadung,4.0,175.0,140.0,2500.0
Ujung Berung,2.0,40.0,55.0,225.0
Bandung,2.0,58.0,89.0,737.0
Ciumbuleuit,3.0,80.0,70.0,745.0
Bandung,4.0,180.0,150.0,1500.0
Bojongsoang,2.0,40.0,84.0,1169.0
Bandung,4.0,140.0,195.0,2200.0
Bandung,6.0,72.0,312.0,1200.0
Ciwastra,2.0,36.0,72.0,550.0
Cimenyan,2.0,36.0,84.0,365.0
Arcamanik,5.0,288.0,240.0,2100.0
Buahbatu,2.0,48.0,98.0,785.0
Cibeunying Kaler,4.0,180.0,100.0,1700.0
Bandung,5.0,474.5,405.0,6466.5
Pameungpeuk,2.0,36.0,48.0,135.0
Andir,3.0,71.0,85.0,800.0
Antapani,3.0,70.0,119.0,980.0
Bandung,3.0,150.0,217.0,1250.0
Surapati,7.0,200.0,110.0,850.0
Surapati,5.0,300.0,405.0,6466.5
Cipagalo,3.0,84.0,66.0,750.0
Bandung,3.0,70.0,71.0,590.0
Bandung,3.0,10.0,126.0,1300.0
Riau,4.0,200.0,380.0,6466.5
Riau,3.0,250.0,202.0,5000.0
Dago,7.0,474.5,405.0,6466.5
Bandung,3.0,112.0,158.0,1000.0
Antapani,6.0,180.0,96.0,975.0
Padalarang,3.0,165.0,126.0,1500.0
Turangga,2.0,80.0,60.0,525.0
Sukajadi,2.0,100.0,111.0,1200.0
Buahbatu,4.0,150.0,154.0,1450.0
Setiabudi,3.0,80.0,60.0,799.0
Bandung,7.0,474.5,405.0,6466.5
Pasteur,4.0,65.0,72.0,1035.0
Dago,3.0,245.0,405.0,6466.5
Sumur Bandung,5.0,158.0,220.0,6466.5
Braga,3.0,474.5,390.0,6466.5
Sumur Bandung,7.0,474.5,390.0,6466.5
Bandung,5.0,100.0,140.0,1300.0
Bandung,4.0,180.0,155.0,1250.0
Rancasari,5.0,190.0,100.0,1375.0
Mekarwangi,3.0,180.0,126.0,2300.0
Soekarno Hatta,3.0,82.0,95.0,1135.0
Bandung,4.0,200.0,310.0,2800.0
Bandung,4.0,160.0,144.0,1400.0
Pasirlayung,4.0,474.5,405.0,5300.0
Dago,4.0,128.0,120.0,2600.0
Parongpong,3.0,300.0,215.0,2700.0
Buahbatu,3.0,112.0,74.0,1400.0
Antapani,4.0,141.0,91.0,1350.0
Cisaranten Kulon,4.0,150.0,150.0,1600.0
Bandung,3.0,94.0,97.0,1100.0
Margahayu,2.0,55.0,75.0,770.0
Padalarang,2.0,72.0,138.0,1500.0
Buahbatu,3.0,94.0,102.0,1750.0
Riau,2.0,474.5,405.0,6466.5
Bandung,4.0,350.0,268.0,2750.0
Isola,4.0,268.0,350.0,2800.0
Bandung,5.0,180.0,90.0,857.0
Bandung,3.0,280.0,360.0,2200.0
Bandung,4.0,400.0,310.0,5750.0
Bandung,4.0,220.0,140.0,2800.0
Buahbatu,2.0,47.0,50.0,588.0
Antapani,4.0,170.0,90.0,975.0
Banjaran,2.0,32.0,60.0,289.0
Coblong,2.0,67.0,60.0,650.0
Cigondewah,2.0,100.0,130.0,1075.0
Cisarua,2.0,57.0,60.0,595.0
Mekarwangi,4.0,150.0,90.0,1850.0
Katapang,3.0,50.0,63.0,633.0
Cisarua,4.0,250.0,405.0,6466.5
Bandung,4.0,120.0,90.0,1850.0
Bandung,5.0,200.0,405.0,4300.0
Cibeunying Kaler,6.0,200.0,120.0,1050.0
Bandung,2.0,60.0,49.0,695.0
Bandung,4.0,113.0,90.0,1250.0
Padalarang,3.0,90.0,126.0,1800.0
Buahbatu,4.0,200.0,136.0,1150.0
Buahbatu,3.0,58.0,90.0,625.0
Antapani,5.0,120.0,106.0,960.0
Bandung,2.0,55.0,82.0,650.0
Merdeka,5.0,474.5,405.0,6466.5
Bandung,3.0,65.0,170.0,965.0
Ciwastra,3.0,100.0,100.0,1300.0
Antapani,3.0,150.0,299.0,3200.0
Mekarwangi,3.0,110.0,75.0,1750.0
Parongpong,2.0,36.0,74.0,440.0
Rancasari,3.0,100.0,100.0,600.0
Banjaran,2.0,65.0,30.0,175.0
Bojongloa Kidul,4.0,260.0,180.0,3000.0
Buahbatu (Margacinta),3.0,250.0,120.0,1275.0
Buahbatu (Margacinta),6.0,200.0,111.0,1699.0
Babakan Ciparay,3.0,113.0,90.0,1250.0
Bandung,4.0,140.0,154.0,1000.0
Cibeunying Kaler,3.0,100.0,100.0,1850.0
Cigadung,7.0,180.0,98.0,1600.0
Margahayu Utara,3.0,80.0,86.0,549.0
Rancasari,3.0,100.0,61.0,375.0
Bandung,2.0,120.0,246.0,2150.0
Cidadap,5.0,300.0,405.0,6466.5
Buahbatu,7.0,187.0,295.0,4500.0
Bandung,5.0,300.0,210.0,2500.0
Bandung,5.0,474.5,405.0,5000.0
Bandung,4.0,250.0,176.0,2000.0
Padalarang,2.0,69.0,105.0,1637.0
Bandung,6.0,474.5,354.0,6466.5
Bandung,3.0,150.0,172.0,2600.0
Bandung,4.0,150.0,120.0,1450.0
Sekejati,4.0,60.0,105.0,900.0
Sumur Bandung,3.0,200.0,211.0,4300.0
Rancasari,5.0,400.0,200.0,2100.0
Cicalengka,2.0,30.0,72.0,450.0
Bojongsari,2.0,38.0,77.0,405.0
Sukasari,5.0,474.5,405.0,6466.5
Lembang,5.0,474.5,405.0,6466.5
Bandung,4.0,400.0,267.0,2000.0
Bandung,7.0,186.0,405.0,1400.0
Bandung,2.0,80.0,100.0,850.0
Cibaduyut,3.0,170.0,132.0,975.0
Mekarwangi,3.0,65.0,74.0,820.0
Bandung,5.0,300.0,200.0,3800.0
Padalarang,3.0,97.0,162.0,2100.0
Bandung,4.0,110.0,92.0,940.0
Bandung Kulon,3.0,90.0,55.0,600.0
Bandung,3.0,78.0,103.0,775.0
Pasteur,5.0,300.0,386.0,4200.0
Pasteur,3.0,144.0,161.0,3500.0
Regol,3.0,60.0,85.0,750.0
Bojongsoang,2.0,50.0,60.0,407.0
Antapani,4.0,95.0,110.0,1135.0
Bandung,2.0,45.0,65.0,650.0
Parongpong,3.0,70.0,65.0,675.0
Kopo,3.0,75.0,94.0,850.0
Antapani,7.0,419.0,351.0,3250.0
Bandung,2.0,50.0,60.0,500.0
Parongpong,2.0,45.0,125.0,500.0
Antapani,5.0,120.0,110.0,1370.0
Buahbatu,3.0,104.0,120.0,1225.0
Ujung Berung,3.0,75.0,101.0,825.0
Kopo,2.0,40.0,55.0,225.0
Cileunyi,3.0,45.0,60.0,588.0
Coblong,3.0,150.0,405.0,2250.0
Pasteur,4.0,474.5,355.0,5900.0
Buahbatu,5.0,170.0,100.0,1200.0
Parongpong,6.0,474.5,300.0,4100.0
Bandung,2.0,36.0,72.0,467.0
Cidadap,4.0,200.0,405.0,6466.5
Buahbatu,2.0,85.0,120.0,1050.0
Kopo,3.0,110.0,105.0,1100.0
Soekarno Hatta,2.0,56.0,132.0,1400.0
Bandung,4.0,90.0,147.0,1500.0
Kiaracondong,3.0,80.0,80.0,880.0
Bandung,4.0,286.0,216.0,2200.0
Bandung,4.0,300.0,200.0,3700.0
Katapang,2.0,36.0,62.0,432.0
Sukahaji,4.0,200.0,162.0,2300.0
Mekarwangi,3.0,150.0,146.0,2450.0
Sukasari,6.0,400.0,308.0,2500.0
Bandung,3.0,99.0,165.0,2320.0
Cimenyan,3.0,120.0,110.0,1012.0
Margahayu,3.0,115.0,115.0,800.0
Sukasari,3.0,170.0,180.0,2200.0
Bandung,3.0,230.0,282.0,2700.0
Bandung,4.0,300.0,181.0,3800.0
Cibiru,2.0,45.0,116.0,525.0
Bojongsoang,2.0,66.0,58.0,1268.0
Buahbatu,2.0,57.0,66.0,1100.0
Cikutra,2.0,52.0,60.0,532.0
Arcamanik,3.0,160.0,198.0,2700.0
Parongpong,3.0,120.0,372.0,1600.0
Buahbatu,3.0,50.0,71.0,629.0
Sumur Bandung,2.0,70.0,84.0,595.0
Soreang,2.0,36.0,72.0,383.0
Pasteur,7.0,200.0,285.0,2750.0
Buahbatu,3.0,130.0,145.0,1300.0
Lembang,2.0,65.0,60.0,398.0
Parongpong,4.0,250.0,196.0,4250.0
Parongpong,5.0,277.0,371.0,2300.0
Bandung Kulon,4.0,220.0,140.0,2350.0
Kopo,3.0,126.0,97.0,1300.0
